X,CH1,CH2,
Second,Volt,Volt,
-5.7199998e+00,7.60000e+00,5.52000e+00,
-5.6799998e+00,7.84000e+00,5.44000e+00,
-5.6399999e+00,7.60000e+00,5.60000e+00,
-5.5999999e+00,7.84000e+00,5.52000e+00,
-5.5599999e+00,7.60000e+00,5.68000e+00,
-5.5200000e+00,7.76000e+00,5.68000e+00,
-5.4800000e+00,7.84000e+00,5.60000e+00,
-5.4400001e+00,7.84000e+00,5.68000e+00,
-5.4000001e+00,7.60000e+00,5.76000e+00,
-5.3599997e+00,7.60000e+00,5.68000e+00,
-5.3199997e+00,7.84000e+00,5.84000e+00,
-5.2799997e+00,7.60000e+00,5.84000e+00,
-5.2399998e+00,7.84000e+00,5.68000e+00,
-5.1999998e+00,7.84000e+00,5.84000e+00,
-5.1599998e+00,7.60000e+00,5.92000e+00,
-5.1199999e+00,7.60000e+00,5.92000e+00,
-5.0799999e+00,7.84000e+00,6.00000e+00,
-5.0400000e+00,7.84000e+00,6.00000e+00,
-5.0000000e+00,7.60000e+00,5.92000e+00,
-4.9600000e+00,7.60000e+00,6.00000e+00,
-4.9200001e+00,7.84000e+00,6.08000e+00,
-4.8800001e+00,7.84000e+00,6.08000e+00,
-4.8399997e+00,-8.00000e-02,8.00000e-02,
-4.7999997e+00,0.00000e+00,8.00000e-02,
-4.7599998e+00,-1.60000e-01,-8.00000e-02,
-4.7199998e+00,-8.00000e-02,8.00000e-02,
-4.6799998e+00,8.00000e-02,0.00000e+00,
-4.6399999e+00,0.00000e+00,0.00000e+00,
-4.5999999e+00,-8.00000e-02,8.00000e-02,
-4.5599999e+00,0.00000e+00,0.00000e+00,
-4.5200000e+00,-8.00000e-02,8.00000e-02,
-4.4800000e+00,-8.00000e-02,0.00000e+00,
-4.4400001e+00,0.00000e+00,8.00000e-02,
-4.4000001e+00,-8.00000e-02,8.00000e-02,
-4.3600001e+00,0.00000e+00,-8.00000e-02,
-4.3199997e+00,-8.00000e-02,0.00000e+00,
-4.2799997e+00,0.00000e+00,8.00000e-02,
-4.2399998e+00,-8.00000e-02,8.00000e-02,
-4.1999998e+00,0.00000e+00,-8.00000e-02,
-4.1599998e+00,0.00000e+00,-8.00000e-02,
-4.1199999e+00,-8.00000e-02,8.00000e-02,
-4.0799999e+00,-8.00000e-02,0.00000e+00,
-4.0400000e+00,0.00000e+00,-8.00000e-02,
